severity,code,sheet,excel_row,allocator_or_lps,vehicle_or_entity,message,suggestion
high,MANDATE_LIKE_COMMITMENT,Commitments Database,71,KEPFIC (Kenya Pension Funds Investment Consortium),KEPFIC-facilitated housing + infrastructure investments,Commitment row contains mandate/planned/member-only language.,Move to Pipeline & Mandates unless there is public evidence of an actual allocation.
high,MANDATE_LIKE_COMMITMENT,Commitments Database,80,Asset Owners Forum of South Africa (AOFSA),SA infrastructure + alts mandates,Commitment row contains mandate/planned/member-only language.,Move to Pipeline & Mandates unless there is public evidence of an actual allocation.
high,MANDATE_LIKE_COMMITMENT,Commitments Database,117,Public Officers' Defined Contribution Pension Fund (PODCPF),Mergence Lesotho unlisted investment mandate (PE & infrastructure),Commitment row contains mandate/planned/member-only language.,Move to Pipeline & Mandates unless there is public evidence of an actual allocation.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,6,Eskom Pension and Provident Fund (EPPF),Multiple PE funds,Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,9,Nigeria Sovereign Investment Authority (NSIA),Nigeria Infrastructure Fund (NIF) direct deals,Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,13,Stanbic IBTC Pension Managers,Multiple funds,Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,14,ARM Pension Managers (Access ARM Pensions),ARM-Harith funds (intra-group affiliate),Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,17,The Sovereign Fund of Egypt (TSFE),Various Gulf-Egypt platforms,Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,19,Caisse de Dépôt et de Gestion (CDG),CapMezzanine III,Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,20,Caisse de Dépôt et de Gestion (CDG),InfraMaroc,Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,23,Mohammed VI Fund for Investment,Sectoral co-investment funds,Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,24,Government Institutions Pension Fund (GIPF),"77 indirect funds (covering PE, VC, private credit, infra, RE)",Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,25,Government Institutions Pension Fund (GIPF),Stimulus Investments Funds,Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,26,Government Institutions Pension Fund (GIPF),"Eos Capital funds (Allegrow, Euphrates, etc.)",Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,27,Government Institutions Pension Fund (GIPF),OMIGNAM unlisted programmes,Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,32,Botswana Public Officers Pension Fund (BPOPF),Various,Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,36,Fundo Soberano de Angola (FSDEA),Gemcorp-FSDEA Pan-African Infrastructure Fund,Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
medium,COMMITMENT_WITHOUT_VEHICLE_ROW,Commitments Database,38,Fundo Soberano de Angola (FSDEA),Diversified portfolio incl. private equity funds,Confirmed fund/instrument commitment does not have a matching Vehicles & Instruments row.,Add a vehicle row or explain why it should be excluded from vehicle-level displays.
